"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"ABELM","","Abelmoschus","","","","","","","","",""
"ABES","","Abelmoschus esculentus","Annuelle, Vivace","","","","","","","",""
"ABIES","","Abies","","","","","","","","",""
"ABBA","","Abies balsamea","Vivace","Printemps et été","Vert","4.0","6.0","13","60","Tolérant","-43"
"ABBAB","","Abies balsamea var. balsamea","Vivace","","","","","","","",""
"ABUTI","","Abutilon","","","","","","","","",""
"ABTH","","Abutilon theophrasti","Annuelle","","","","","","","",""
"ACACI","","Acacia","","","","","","","","",""
"ACCO2","","Acacia constricta","Vivace","Printemps et été","Vert","7.0","8.5","4","20","Intolérant","-13"
"ACCOC","","Acacia constricta var. constricta","Vivace","","","","","","","",""
"ACALY","","Acalypha","","","","","","","","",""
"ACGR2","","Acalypha gracilens","Annuelle","","","","","","","",""
"ACRH","","Acalypha rhomboidea","Annuelle","","","","","","","",""
"ACVI","","Acalypha virginica","Annuelle","Printemps, été, automne","Vert","5.9","7.0","13","60","Intermédiaire","33"
"ACARO2","","Acarospora","","","","","","","","",""
"ACER","","Acer","","","","","","","","",""
"ACNE2","","Acer negundo","Vivace","Printemps et été","Vert","5.0","7.8","15","75","Tolérant","-46"
"ACNEN","","Acer negundo var. negundo","Vivace","","","","","","","",""
"ACNI5","","Acer nigrum","Vivace","Printemps et été","Vert","4.5","7.3","24","60","Tolérant","-47"
"ACPE","","Acer pensylvanicum","Vivace","Printemps et été","Vert","4.4","6.5","24","76","Tolérant","-47"
"ACPL","","Acer platanoides","Vivace","Printemps et été","Vert","4.8","7.2","32","50","Intermédiaire","-28"
"ACPS","","Acer pseudoplatanus","Vivace","Printemps et été","Jaune-vert","5.8","7.0","32","60","Intolérant","-23"
"ACRU","","Acer rubrum","Vivace","Printemps et été","Vert","4.7","7.3","25","80","Intermédiaire","-47"
"ACRUR","","Acer rubrum var. rubrum","Vivace","","","","","","","",""
"ACRUT","","Acer rubrum var. trilobum","Vivace","","","","","","","",""
"ACSA2","","Acer saccharinum","Vivace","Printemps et été","Vert","4.0","7.3","20","70","Intermédiaire","-47"
"ACSA3","","Acer saccharum","Vivace","Printemps et été","Vert","3.7","7.9","22","80","Tolérant","-47"
"ACSAS","","Acer saccharum var. saccharum","Vivace","","","","","","","",""
"ACSP2","","Acer spicatum","Vivace","Printemps et été","Vert","4.8","7.0","30","70","Tolérant","-47"
"ACHIL","","Achillea","","","","","","","","",""
